fajl;algoritmus;tipus;sulyozas;ladak_szama;futasi_ido_sec;osszesitett_nev;also_korlat;realtiv_elteres
3d_class5_100_03.csv;FFD_prod;elem;nincs;46;0,0028;FFD_prod_elem;34;0,3529
3d_class5_100_01.csv;FFD_sum;elem;nincs;49;0,0027;FFD_sum_elem;37;0,3243
3d_class5_100_01.csv;FFD_prod;elem;nincs;48;0,0027;FFD_prod_elem;37;0,2973
3d_class5_100_01.csv;FFD_sum;lada;nincs;49;0,0027;FFD_sum_lada;37;0,3243
3d_class5_100_01.csv;FFD_avg;lada;nincs;49;0,0027;FFD_avg_lada;37;0,3243
3d_class5_100_02.csv;FFD_prod;lada;nincs;44;0,0027;FFD_prod_lada;35;0,2571
3d_class5_100_03.csv;FFD_avg;lada;nincs;47;0,0027;FFD_avg_lada;34;0,3824
3d_class5_100_04.csv;FFD_prod;elem;nincs;44;0,0027;FFD_prod_elem;34;0,2941
3d_class4_100_02.csv;FFD_prod;lada;nincs;35;0,0026;FFD_prod_lada;33;0,0606
3d_class4_100_04.csv;FFD_prod;lada;nincs;34;0,0026;FFD_prod_lada;33;0,0303
3d_class5_100_01.csv;FFD_avg;elem;nincs;49;0,0026;FFD_avg_elem;37;0,3243
3d_class5_100_02.csv;FFD_prod;elem;nincs;44;0,0026;FFD_prod_elem;35;0,2571
3d_class5_100_02.csv;FFD_avg;lada;nincs;46;0,0026;FFD_avg_lada;35;0,3143
3d_class5_100_04.csv;FFD_avg;lada;nincs;44;0,0026;FFD_avg_lada;34;0,2941
3d_class4_100_01.csv;FFD_prod;elem;nincs;34;0,0025;FFD_prod_elem;32;0,0625
3d_class4_100_02.csv;FFD_prod;elem;nincs;35;0,0025;FFD_prod_elem;33;0,0606
3d_class4_100_03.csv;FFD_prod;elem;nincs;35;0,0025;FFD_prod_elem;32;0,0938
3d_class4_100_03.csv;FFD_prod;lada;nincs;35;0,0025;FFD_prod_lada;32;0,0938
3d_class5_100_02.csv;FFD_sum;elem;nincs;46;0,0025;FFD_sum_elem;35;0,3143
3d_class5_100_02.csv;FFD_avg;elem;nincs;46;0,0025;FFD_avg_elem;35;0,3143
3d_class5_100_02.csv;FFD_sum;lada;nincs;46;0,0025;FFD_sum_lada;35;0,3143
3d_class5_100_03.csv;FFD_sum;lada;nincs;47;0,0025;FFD_sum_lada;34;0,3824
3d_class5_100_04.csv;FFD_sum;elem;nincs;44;0,0025;FFD_sum_elem;34;0,2941
3d_class5_100_04.csv;FFD_avg;elem;nincs;44;0,0025;FFD_avg_elem;34;0,2941
3d_class5_100_04.csv;FFD_sum;lada;nincs;44;0,0025;FFD_sum_lada;34;0,2941
3d_class6_100_04.csv;FFD_sum;elem;nincs;34;0,0025;FFD_sum_elem;31;0,0968
3d_class4_100_01.csv;FFD_sum;elem;nincs;34;0,0024;FFD_sum_elem;32;0,0625
3d_class4_100_01.csv;FFD_prod;lada;nincs;34;0,0024;FFD_prod_lada;32;0,0625
3d_class4_100_02.csv;FFD_avg;lada;nincs;36;0,0024;FFD_avg_lada;33;0,0909
3d_class4_100_03.csv;FFD_sum;elem;nincs;35;0,0024;FFD_sum_elem;32;0,0938
3d_class4_100_04.csv;FFD_prod;elem;nincs;34;0,0024;FFD_prod_elem;33;0,0303
3d_class5_100_03.csv;FFD_sum;elem;nincs;47;0,0024;FFD_sum_elem;34;0,3824
3d_class5_100_03.csv;FFD_avg;elem;nincs;47;0,0024;FFD_avg_elem;34;0,3824
3d_class6_100_01.csv;FFD_prod;elem;nincs;34;0,0024;FFD_prod_elem;31;0,0968
3d_class2_100_02.csv;FFD_prod;elem;nincs;28;0,0023;FFD_prod_elem;25;0,1200
3d_class4_100_01.csv;FFD_sum;lada;nincs;34;0,0023;FFD_sum_lada;32;0,0625
3d_class4_100_02.csv;FFD_sum;elem;nincs;36;0,0023;FFD_sum_elem;33;0,0909
3d_class4_100_02.csv;FFD_avg;elem;nincs;36;0,0023;FFD_avg_elem;33;0,0909
3d_class4_100_02.csv;FFD_sum;lada;nincs;36;0,0023;FFD_sum_lada;33;0,0909
3d_class4_100_03.csv;FFD_sum;lada;nincs;35;0,0023;FFD_sum_lada;32;0,0938
3d_class4_100_03.csv;FFD_avg;lada;nincs;35;0,0023;FFD_avg_lada;32;0,0938
3d_class6_100_01.csv;FFD_prod;lada;nincs;34;0,0023;FFD_prod_lada;31;0,0968
3d_class6_100_02.csv;FFD_prod;elem;nincs;34;0,0023;FFD_prod_elem;30;0,1333
3d_class6_100_02.csv;FFD_prod;lada;nincs;34;0,0023;FFD_prod_lada;30;0,1333
3d_class6_100_04.csv;FFD_prod;elem;nincs;34;0,0023;FFD_prod_elem;31;0,0968
3d_class2_100_01.csv;FFD_prod;lada;nincs;30;0,0022;FFD_prod_lada;27;0,1111
3d_class2_100_03.csv;FFD_prod;elem;nincs;30;0,0022;FFD_prod_elem;26;0,1538
3d_class2_100_03.csv;FFD_prod;lada;nincs;30;0,0022;FFD_prod_lada;26;0,1538
3d_class4_100_01.csv;FFD_avg;elem;nincs;34;0,0022;FFD_avg_elem;32;0,0625
3d_class4_100_01.csv;FFD_avg;lada;nincs;34;0,0022;FFD_avg_lada;32;0,0625
3d_class4_100_03.csv;FFD_avg;elem;nincs;35;0,0022;FFD_avg_elem;32;0,0938
3d_class4_100_04.csv;FFD_sum;lada;nincs;34;0,0022;FFD_sum_lada;33;0,0303
3d_class4_100_04.csv;FFD_avg;lada;nincs;34;0,0022;FFD_avg_lada;33;0,0303
3d_class2_100_02.csv;FFD_prod;lada;nincs;28;0,0021;FFD_prod_lada;25;0,1200
3d_class4_100_04.csv;FFD_sum;elem;nincs;34;0,0021;FFD_sum_elem;33;0,0303
3d_class4_100_04.csv;FFD_avg;elem;nincs;34;0,0021;FFD_avg_elem;33;0,0303
3d_class6_100_01.csv;FFD_sum;elem;nincs;34;0,0021;FFD_sum_elem;31;0,0968
3d_class6_100_03.csv;FFD_prod;lada;nincs;34;0,0021;FFD_prod_lada;30;0,1333
3d_class6_100_04.csv;FFD_prod;lada;nincs;34;0,0021;FFD_prod_lada;31;0,0968
3d_class2_100_01.csv;FFD_prod;elem;nincs;30;0,002;FFD_prod_elem;27;0,1111
3d_class2_100_03.csv;FFD_sum;elem;nincs;29;0,002;FFD_sum_elem;26;0,1154
3d_class6_100_01.csv;FFD_avg;elem;nincs;34;0,002;FFD_avg_elem;31;0,0968
3d_class6_100_01.csv;FFD_sum;lada;nincs;34;0,002;FFD_sum_lada;31;0,0968
3d_class6_100_01.csv;FFD_avg;lada;nincs;34;0,002;FFD_avg_lada;31;0,0968
3d_class6_100_02.csv;FFD_sum;elem;nincs;34;0,002;FFD_sum_elem;30;0,1333
3d_class6_100_02.csv;FFD_avg;elem;nincs;34;0,002;FFD_avg_elem;30;0,1333
3d_class6_100_02.csv;FFD_sum;lada;nincs;34;0,002;FFD_sum_lada;30;0,1333
3d_class6_100_02.csv;FFD_avg;lada;nincs;34;0,002;FFD_avg_lada;30;0,1333
3d_class6_100_03.csv;FFD_prod;elem;nincs;34;0,002;FFD_prod_elem;30;0,1333
3d_class2_100_03.csv;FFD_avg;elem;nincs;29;0,0019;FFD_avg_elem;26;0,1154
3d_class2_100_03.csv;FFD_sum;lada;nincs;29;0,0019;FFD_sum_lada;26;0,1154
3d_class2_100_03.csv;FFD_avg;lada;nincs;29;0,0019;FFD_avg_lada;26;0,1154
3d_class2_100_04.csv;FFD_prod;elem;nincs;28;0,0019;FFD_prod_elem;25;0,1200
3d_class2_100_04.csv;FFD_prod;lada;nincs;28;0,0019;FFD_prod_lada;25;0,1200
3d_class6_100_04.csv;FFD_avg;lada;nincs;34;0,0019;FFD_avg_lada;31;0,0968
3d_class2_100_01.csv;FFD_sum;elem;nincs;30;0,0018;FFD_sum_elem;27;0,1111
3d_class2_100_01.csv;FFD_sum;lada;nincs;30;0,0018;FFD_sum_lada;27;0,1111
3d_class2_100_01.csv;FFD_avg;lada;nincs;30;0,0018;FFD_avg_lada;27;0,1111
3d_class2_100_02.csv;FFD_sum;lada;nincs;28;0,0018;FFD_sum_lada;25;0,1200
3d_class2_100_02.csv;FFD_avg;lada;nincs;28;0,0018;FFD_avg_lada;25;0,1200
3d_class2_100_04.csv;FFD_sum;lada;nincs;28;0,0018;FFD_sum_lada;25;0,1200
3d_class6_100_03.csv;FFD_sum;elem;nincs;34;0,0018;FFD_sum_elem;30;0,1333
3d_class6_100_03.csv;FFD_avg;elem;nincs;34;0,0018;FFD_avg_elem;30;0,1333
