Összeg / ladak_szama;Oszlopcímkék;;;;;;;;;;;;;;;;;;;
Sorcímkék;dot_product1_lada_average;dot_product1_lada_exponential;dot_product1_lada_reciprocal_average;dot_product2_lada_average;dot_product2_lada_exponential;dot_product2_lada_reciprocal_average;FFD_avg_elem;FFD_avg_lada;FFD_prod_elem;FFD_prod_lada;FFD_sum_elem;FFD_sum_lada;l2_norm_of_slacks_lada_average;l2_norm_of_slacks_lada_exponential;l2_norm_of_slacks_lada_reciprocal_average;Végösszeg;Min;;;
class4\2d_class4_1000_04.csv;320;319;319;329;328;335;324;324;324;324;324;324;319;319;319;4851;319;dot_product1_lada_exponential;313;6
class4\2d_class4_500_01.csv;160;159;159;163;164;165;161;161;161;161;161;161;160;160;160;2416;159;dot_product1_lada_exponential;156;3
class4\2d_class4_500_02.csv;161;161;161;165;164;165;162;162;162;162;162;162;160;161;160;2430;160;l2_norm_of_slacks_lada_average;156;4
class4\2d_class4_500_03.csv;163;162;163;169;168;168;164;164;164;164;164;164;163;163;163;2466;162;dot_product1_lada_exponential;159;3
class4\2d_class4_500_04.csv;161;161;161;165;166;165;164;164;163;163;164;164;161;161;160;2443;160;l2_norm_of_slacks_lada_reciprocal_average;157;3
class5\2d_class5_100_01.csv;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;750;50;dot_product1_lada_average;50;0
class5\2d_class5_100_02.csv;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;765;51;dot_product1_lada_average;50;1
class5\2d_class5_100_03.csv;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;780;52;dot_product1_lada_average;50;2
class5\2d_class5_100_04.csv;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;750;50;dot_product1_lada_average;50;0
class5\2d_class5_1000_01.csv;501;501;501;501;501;501;501;501;501;501;501;501;501;502;502;7517;501;dot_product1_lada_average;500;1
class5\2d_class5_1000_02.csv;504;505;504;501;501;501;502;502;501;501;502;502;505;505;505;7541;501;dot_product2_lada_average;500;1
class5\2d_class5_1000_03.csv;505;505;505;505;505;505;505;505;505;505;505;505;506;506;506;7578;505;dot_product1_lada_average;500;5
class5\2d_class5_1000_04.csv;508;508;508;506;506;506;508;508;506;506;508;508;508;508;508;7610;506;dot_product2_lada_average;499;7
class5\2d_class5_500_01.csv;253;253;253;252;252;252;252;252;252;252;252;252;252;252;252;3783;252;dot_product2_lada_average;250;2
class5\2d_class5_500_02.csv;255;255;255;255;255;255;255;255;254;254;255;255;256;256;256;3826;254;FFD_prod_elem;250;4
class5\2d_class5_500_03.csv;252;252;252;251;251;252;252;252;251;251;252;252;252;252;253;3777;251;dot_product2_lada_average;250;1
class5\2d_class5_500_04.csv;254;254;254;252;252;253;254;254;252;252;254;254;256;256;255;3806;252;dot_product2_lada_average;250;2
class6\2d_class6_100_01.csv;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;510;34;dot_product1_lada_average;30;4
class6\2d_class6_100_02.csv;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;510;34;dot_product1_lada_average;30;4
class6\2d_class6_100_03.csv;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;510;34;dot_product1_lada_average;30;4
class6\2d_class6_100_04.csv;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;510;34;dot_product1_lada_average;31;3
class6\2d_class6_1000_01.csv;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;5010;334;dot_product1_lada_average;300;34
class6\2d_class6_1000_02.csv;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;5010;334;dot_product1_lada_average;301;33
class6\2d_class6_1000_03.csv;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;5010;334;dot_product1_lada_average;299;35
class6\2d_class6_1000_04.csv;334;334;334;334;334;334;334;334;334;334;334;334;334;334;334;5010;334;dot_product1_lada_average;301;33
class6\2d_class6_500_01.csv;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;2505;167;dot_product1_lada_average;151;16
class6\2d_class6_500_02.csv;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;2505;167;dot_product1_lada_average;150;17
class6\2d_class6_500_03.csv;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;2505;167;dot_product1_lada_average;150;17
class6\2d_class6_500_04.csv;167;167;167;167;167;167;167;167;167;167;167;167;167;167;167;2505;167;dot_product1_lada_average;151;16
Végösszeg;16021;16014;16054;16264;16214;16778;16086;16086;16087;16087;16086;16086;16019;16021;16018;241921;;;;
